filename,prompt_tokens,candidates_tokens,status,timestamp
b23982500_0002_0640.jp2,829,5769,ok,2026-05-16T14:18:27.734970+00:00
b23982500_0002_0641.jp2,829,7611,ok,2026-05-16T14:18:51.505270+00:00
b23982500_0002_0642.jp2,829,7766,ok,2026-05-16T14:18:52.674740+00:00
b23982500_0002_0643.jp2,829,6316,ok,2026-05-16T14:18:53.986203+00:00
b23982500_0002_0645.jp2,829,5486,ok,2026-05-16T14:19:11.651049+00:00
b23982500_0002_0644.jp2,829,9482,ok,2026-05-16T14:19:14.163930+00:00
b23982500_0002_0647.jp2,829,5380,ok,2026-05-16T14:19:40.983565+00:00
b23982500_0002_0648.jp2,829,7525,ok,2026-05-16T14:19:53.163024+00:00
b23982500_0002_0646.jp2,829,9106,ok,2026-05-16T14:20:01.797858+00:00
b23982500_0002_0649.jp2,829,9450,ok,2026-05-16T14:20:20.323313+00:00
b23982500_0002_0650.jp2,829,5949,ok,2026-05-16T14:20:56.790276+00:00
b23982500_0002_0651.jp2,829,15675,ok,2026-05-16T14:21:29.047961+00:00
b23982500_0002_0654.jp2,829,9699,ok,2026-05-16T14:21:32.008396+00:00
b23982500_0002_0655.jp2,829,6812,ok,2026-05-16T14:21:52.809821+00:00
b23982500_0002_0656.jp2,829,5468,ok,2026-05-16T14:22:22.894176+00:00
b23982500_0002_0657.jp2,829,5780,ok,2026-05-16T14:22:24.870742+00:00
b23982500_0002_0658.jp2,829,5916,ok,2026-05-16T14:22:49.166374+00:00
b23982500_0002_0659.jp2,829,7725,ok,2026-05-16T14:23:21.701947+00:00
b23982500_0002_0660.jp2,829,8122,ok,2026-05-16T14:23:27.568267+00:00
b23982500_0002_0653.jp2,829,30146,ok,2026-05-16T14:23:29.073487+00:00
b23982500_0002_0661.jp2,829,5460,ok,2026-05-16T14:23:34.944774+00:00
b23982500_0002_0662.jp2,829,3726,ok,2026-05-16T14:23:55.897930+00:00
b23982500_0002_0664.jp2,829,4102,ok,2026-05-16T14:24:07.904457+00:00
b23982500_0002_0665.jp2,829,4542,ok,2026-05-16T14:24:20.168511+00:00
b23982500_0002_0663.jp2,829,9040,ok,2026-05-16T14:24:32.402431+00:00
b23982500_0002_0666.jp2,829,5873,ok,2026-05-16T14:24:42.010064+00:00
b23982500_0002_0667.jp2,829,4128,ok,2026-05-16T14:24:43.618329+00:00
